"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","name"
"1","S1PR1",0.136161637789662,1.15682380695262,NA,26.7487344100323,2.43137063848414e-07,1.80819501087266e-06,"1901","sphingosine-1-phosphate receptor 1"
"2","BCL2L11",0.0721883627008681,0.723599412622392,NA,9.98813448467193,0.00158737395591418,0.00526255903858297,"10018","BCL2 like 11"
"3","BCL6",0.223831997552177,1.74081925417263,NA,244.246496999617,1.77574354012347e-53,4.0437966686122e-51,"604","BCL6 transcription repressor"
"4","CCNG2",0.124012762934621,0.657924776081377,NA,15.3100193707518,9.27591014330411e-05,0.000420151650112348,"901","cyclin G2"
"5","PRKAA1",0.0706023279557733,0.737568387439594,NA,10.9123682989189,0.000963708337043001,0.00341800744244467,"5562","protein kinase AMP-activated catalytic subunit alpha 1"
"6","CCNB1",0.105307217829223,0.785572274499884,NA,14.4147013098854,0.000148843444530916,0.000644565316512898,"891","cyclin B1"
"7","CDKN1A",0.0594585639241666,0.772725115326141,NA,5.37695271421907,0.0204550208938313,0.0478346168494555,"1026","cyclin dependent kinase inhibitor 1A"
"8","SGK1",0.0379019637279577,1.97886121401809,NA,67.4032051249307,2.96114288237627e-16,6.11105862350404e-15,"6446","serum/glucocorticoid regulated kinase 1"
"9","BRAF",0.100483024498195,0.622680474416874,NA,10.869296416307,0.000986317532620988,0.00348509416020814,"673","B-Raf proto-oncogene, serine/threonine kinase"
"10","HRAS",0.0551574497658508,0.862138349234711,NA,14.1806177964223,0.000168477282239016,0.000720611380768436,"3265","HRas proto-oncogene, GTPase"
"11","PTEN",0.165210603733444,0.857610201597203,NA,39.7221206828037,3.24761651302552e-10,3.64749310408512e-09,"5728","phosphatase and tensin homolog"
"12","CDKN1B",0.228917088012564,0.751597701200667,NA,31.7608243704333,1.86481304250552e-08,1.63331900964277e-07,"1027","cyclin dependent kinase inhibitor 1B"
"13","PRKAB1",0.0720999999361673,0.660813312135521,NA,9.14268760071235,0.00251310793678086,0.00786567052819944,"5564","protein kinase AMP-activated non-catalytic subunit beta 1"
"14","FOXO1",0.209976833561996,1.6309882292233,NA,198.468273282894,5.0975707316082e-44,6.87027696153889e-42,"2308","forkhead box O1"
"15","AKT1",0.0536397082072633,0.988665648455198,NA,19.4790101760981,1.04413405677867e-05,5.81895469279857e-05,"207","AKT serine/threonine kinase 1"
"16","CCNB2",0.081854922532432,0.728573581633123,NA,9.09141729275924,0.00258437112790291,0.00803222646862257,"9133","cyclin B2"
"17","MAP2K1",0.128689455443891,0.774016555104119,NA,23.3512558840368,1.40055045436997e-06,9.16806880518031e-06,"5604","mitogen-activated protein kinase kinase 1"
"18","USP7",0.0590357511742856,1.38777356008704,NA,47.4077595563715,6.67372475682403e-12,9.08727387506513e-11,"7874","ubiquitin specific peptidase 7"
"19","PLK1",0.0888531351614776,0.591906586363495,NA,5.41560841793034,0.0200075422810747,0.0470212844214297,"5347","polo like kinase 1"
"20","SMAD4",0.0667354323898202,2.10492393978233,NA,139.108876077818,1.39556980336498e-31,9.50138451693023e-30,"4089","SMAD family member 4"
"21","GADD45B",0.0811270298653231,1.3055446533649,NA,45.2205043421621,2.0117997675958e-11,2.61020150593373e-10,"4616","growth arrest and DNA damage inducible beta"
"22","MAP2K2",0.124144212188159,2.47857234214439,NA,376.199444783691,3.8407751065169e-80,2.11370656695313e-77,"5605","mitogen-activated protein kinase kinase 2"
"23","CDKN2D",0.073666280914759,0.940128215409988,NA,22.2574693099585,2.46633885255192e-06,1.53948031968364e-05,"1032","cyclin dependent kinase inhibitor 2D"
"24","KLF2",0.343638453705834,2.47872450746644,NA,317.02342560333,2.73287772816611e-68,1.12799528230056e-65,"10365","KLF transcription factor 2"
"25","AKT2",0.094242270634027,0.753815990223503,NA,16.1013020410895,6.11494952799359e-05,0.000288863567116378,"208","AKT serine/threonine kinase 2"
"26","TGFB1",0.281919057798896,1.01566370111915,NA,88.1795390041239,9.79111973536928e-21,3.13886188021256e-19,"7040","transforming growth factor beta 1"
"27","MAPK1",0.139684045339421,0.84563948967946,NA,31.4921565729045,2.13915980720318e-08,1.85637468682914e-07,"5594","mitogen-activated protein kinase 1"
"28","CSNK1E",0.106773042594223,0.664658950949094,NA,11.4175355710536,0.000734554812874312,0.00268307521251214,"1454","casein kinase 1 epsilon"
