"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","name"
"1","JUN",0.703446482988339,1.40641931810025,NA,117.461228473692,5.41211712182e-27,2.72836805133582e-25,"3725","Jun proto-oncogene, AP-1 transcription factor subunit"
"2","MSH2",0.0866400749005785,0.849809185603511,NA,20.6322541165965,5.73031559773837e-06,3.36382259621904e-05,"4436","mutS homolog 2"
"3","BCL2L11",0.0721883627008681,0.723599412622392,NA,9.98813448467193,0.00158737395591418,0.00526255903858297,"10018","BCL2 like 11"
"4","MLH1",0.077150638093525,0.873287907661397,NA,20.9133421709426,4.95184887084613e-06,2.93554846885707e-05,"4292","mutL homolog 1"
"5","CTNNB1",0.173573549675835,0.793876834788712,NA,31.4245461952349,2.21435082350295e-08,1.9165888385863e-07,"1499","catenin beta 1"
"6","CDKN1A",0.0594585639241666,0.772725115326141,NA,5.37695271421907,0.0204550208938313,0.0478346168494555,"1026","cyclin dependent kinase inhibitor 1A"
"7","RAC1",0.564956985051332,0.990338786162467,NA,158.961570914407,9.16704051226175e-36,8.77378775985168e-34,"5879","Rac family small GTPase 1"
"8","MYC",0.043574627873323,0.929528221093189,NA,10.3656759791457,0.00129414184352809,0.00441301420997769,"4609","MYC proto-oncogene, bHLH transcription factor"
"9","HRAS",0.0551574497658508,0.862138349234711,NA,14.1806177964223,0.000168477282239016,0.000720611380768436,"3265","HRas proto-oncogene, GTPase"
"10","FOS",0.322272480223704,2.53177491788145,NA,188.648129504344,5.63687744949236e-42,7.02376201442407e-40,"2353","Fos proto-oncogene, AP-1 transcription factor subunit"
"11","AKT1",0.0536397082072633,0.988665648455198,NA,19.4790101760981,1.04413405677867e-05,5.81895469279857e-05,"207","AKT serine/threonine kinase 1"
"12","MAP2K1",0.128689455443891,0.774016555104119,NA,23.3512558840368,1.40055045436997e-06,9.16806880518031e-06,"5604","mitogen-activated protein kinase kinase 1"
"13","SMAD2",0.151141150190566,1.22473094415289,NA,79.6681859086705,6.63551376583857e-19,1.8412156684705e-17,"4087","SMAD family member 2"
"14","SMAD4",0.0667354323898202,2.10492393978233,NA,139.108876077818,1.39556980336498e-31,9.50138451693023e-30,"4089","SMAD family member 4"
"15","PMAIP1",0.0767156783685564,2.07654644346525,NA,121.553708499554,7.3041123677185e-28,3.95379984232893e-26,"5366","phorbol-12-myristate-13-acetate-induced protein 1"
"16","GADD45B",0.0811270298653231,1.3055446533649,NA,45.2205043421621,2.0117997675958e-11,2.61020150593373e-10,"4616","growth arrest and DNA damage inducible beta"
"17","MAP2K2",0.124144212188159,2.47857234214439,NA,376.199444783691,3.8407751065169e-80,2.11370656695313e-77,"5605","mitogen-activated protein kinase kinase 2"
"18","AKT2",0.094242270634027,0.753815990223503,NA,16.1013020410895,6.11494952799359e-05,0.000288863567116378,"208","AKT serine/threonine kinase 2"
"19","TGFB1",0.281919057798896,1.01566370111915,NA,88.1795390041239,9.79111973536928e-21,3.13886188021256e-19,"7040","transforming growth factor beta 1"
"20","BBC3",0.074305838484729,2.32274033231846,NA,132.590779602945,3.33605377348024e-30,2.09821896381557e-28,"27113","BCL2 binding component 3"
"21","MAPK1",0.139684045339421,0.84563948967946,NA,31.4921565729045,2.13915980720318e-08,1.85637468682914e-07,"5594","mitogen-activated protein kinase 1"
